date,StreetCar_Ridership,Bus_Ridership,All Transit_Ridership,StreetCar_Crime,Bus_Crime,All Transit_Crime
20200101,48354,69991,125244,23,55,220
20200201,45000,61200,113332,17,69,145
20200301,50000,72211,149503,15,43,137
20200401,55657,72994,130598,26,49,166
20200501,62937,77800,157612,33,52,91
20200601,71367,92871,189765,28,39,114
20200701,103625,141609,257444,30,57,122
20200801,80113,97431,201984,20,68,134
20200901,66986,74955,187531,15,44,104
20201001,62010,81344,178567,23,39,99
20201101,52998,69577,135765,24,31,116
20201201,61274,71312,167890,27,43,135
